index,source,edge,target,edge-comments
489,vaccinated high-risk children,are less likely to be diagnosed with autism than,unvaccinated high-risk children,indicated findings of Jain study
490,Jain study,findings indicated,protective effect of vaccines,from autism
491,protective effect of vaccines,may protect children from,autism,
492,other good reasons,Jain study authors noted for apparent,protective effect of vaccines,
493,parents of autistic children,could explain apparent,protective effect of vaccines,
494,parents of autistic children,could explain apparent protective effect of vaccines by,withholding vaccines,
495,protective effect of vaccines,may be explained by parents of autistic children,withholding vaccines,
496,autism,is known to have,genetic component,
497,younger sibling of child with autism,more likely to have,autism,because they share many genes
498,parents of autistic children,withheld vaccines because of fears spread by,anti-vaccine movement,
499,parents of autistic children,who withheld vaccines from their children could contribute to the apparently lower,lower rate of autism in vaccinated children,
500,protective effect of vaccines,was shown by,lower rate of autism in vaccinated children,in Jain study
501,Jain study,authors couldn't rule out,protective effect of vaccines,
502,protective effect of vaccines,is scientifically,unlikely,
503,alternative explanation,Jain study authors wisely offered for,protective effect of vaccines,
504,Jain study,is,large study,
505,Jain study,is,carefully conducted study,
506,Jain study,shows,MMR vaccine does not cause autism,
507,Jain study,hope helps to,end the anti-vax movement,
508,anti-vax movement,is spending time and money trying to refute,long-discredited hypotheses,
509,we,want to,end the anti-vax movement,
510,long-discredited hypotheses,of anti-vax movement include,MMR vaccine-autism link,
511,anti-vax movement,should stop spending,time,
512,anti-vax movement,should stop spending,money,
513,we,want to focus on trying to understand the,true cause of autism,
514,MMR vaccine,no link between,autism,
515,MMR vaccine and autism,has no,link,
516,MMR vaccine and autism,no link even in,high risk children,
517,high risk children,have,siblings with autism,
518,measles outbreak,affected 14,states,
519,measles outbreak,began in,California,
520,California,where belief is widespread that,vaccines cause autism,
521,vaccines,can cause,autism,
522,JAMA study,is in,Journal of the American Medical Association,
523,JAMA study,"examined insurance claims for 96,000",U.S. children,
524,JAMA study,examined,insurance claims,
525,JAMA study,"examined insurance claims for 96,000 U.S. children born 2001-2007 to look for",MMR vaccine and autism link,
526,lawmakers,in California and elsewhere are increasingly proposing strengthened,vaccination requirements,
527,anti-vaxxer,is,anti-vaccine,
528,anti-vaxxer,has considerable,commitment,
529,anti-vaxxer,has,true-believer cohort,
530,anti-vaxxer,is an effective,opponent of sanity-oriented legislation,of sanity-oriented legislation
531,opponent of sanity-oriented legislation,anti-vaxxer is effective despite,minority views,
532,anti-vaxxer,has,minority views,
533,teen,make sure they get,meningococcal vaccine,
534,meningococcal vaccine,protects against,meningococcal disease,
535,meningococcal disease,very serious and not very common,illness,in the United States
536,meningococcal disease,can be devastating and often and unexpectedly strikes otherwise,healthy people,
537,preteens,should get the first dose at their 11-12 year old check-up,meningococcal vaccine,
538,meningococcal conjugate vaccine,is,safe,
539,side effects,occur from,meningococcal vaccine,
540,side effects,most are mild and moderate,meningococcal vaccine,
541,side effects,do not affect daily activities,meningococcal vaccine,
542,early diagnosis,very important for,meningococcal disease,
543,early treatment,very important for,meningococcal disease,
544,meningococcal disease,spread from person to person by sharing,respiratory secretions,"(such as saliva, by kissing or coughing), during close or lengthy contact"
545,meningococcal disease,spread especially among people who share a room or live in the same,household,
546,teens,are at increased risk for ,meningococcal disease,
547,young adults,are at increased risk for ,meningococcal disease,
548,meningococcal disease,people can be,carrier,
549,carriers,of meningococcal disease do not have any,symptoms,
550,meningococcal disease,most cases appear to be random and aren't linked to other,cases,
551,close contacts,of a person with meningococcal disease should receive,prophylaxis,
552,meningococcal disease,very few cases occur as part of an,outbreak,
553,preteens,need,meningococcal vaccine,
554,teens,need,meningococcal vaccine,
555,meningococcal vaccine,protects against,meningococcal disease,
556,meningococcal disease,is a very,serious illness,
557,death,in as little as a few hours can occur,meningococcal disease,
558,meningococcal conjugate vaccine,recommended at,11-12 years of age,
559,meningococcal conjugate vaccine booster dose,recommended at,16 years of age,
560,vaccines,help prevent against most common,serogroups of meningococcal disease,
561,meningococcal vaccine,recommended for all,preteens,
562,meningococcal vaccine,recommended for all,teens,
563,meningococcal vaccine,routinely recommended for all,11-18 year olds,
564,teenagers,recommended to get,booster dose,
565,meningococcal vaccine,protects against,serogroup C,
566,meningococcal vaccine,protects against,serogroup Y,
567,meningococcal vaccine,does not protect against,serogroup B,
568,side effects,do occur with,meningococcal vaccine,
569,side effects,most are,mild,
570,side effects,most do not affect,daily activities,
571,side effects,most common take place in,arm,
572,arm side effects,can include,pain,
573,arm side effects,can include,tenderness,
574,arm side effects,can include,swelling,
575,arm side effects,can include,hardness of the skin,
576,common side effects,include,nausea,
577,common side effects,include,run down feeling,
578,common side effects,include,headache,
579,reactions,usually last,short amount of time,
580,risk of fainting,after getting,meningococcal vaccine,
581,risk of fainting,after getting any,any shot,
582,meningococcal disease,refers to any illness caused by,Neisseria meningitidis bacteria,
583,meningococcal disease,can be treated with,effective antibiotics,
584,death,10 to 15 out of 100 people,meningococcal disease,10 to 15 out of 100 people
585,meningococcal disease,11 to 19 out of every 100 survivors will have,long-term disabilities,11 to 19 out of every 100 survivors
586,long-term disabilities,such as,loss of limb,
587,long-term disabilities,such as,deafness,
588,long-term disabilities,such as,nervous system problems,
589,long-term disabilities,such as,brain damage,
590,Neisseria meningitidis bacteria,spread by sharing,respiratory secretions,
591,anyone,can get,meningococcal disease,
592,teens,at increased risk for,meningococcal disease,
593,young adults,at increased risk for,meningococcal disease,
594,people,can carry without getting sick,Neisseria meningitidis bacteria,without getting sick
595,carrier,does not have,meningococcal disease symptoms,
596,bacteria,most often spread by,carriers,
597,meningococcal disease,97 or 98 out of 100 cases appear to be,random cases,
598,meningococcal disease cases,most aren't linked to,other meningococcal disease cases,
599,close contacts,highest risk for getting,infection,
600,close contacts,should receive,antibiotics,
601,antibiotics,prevent from getting,meningococcal disease,
602,meningococcal outbreak,can occur in,communities,
603,meningococcal outbreak,can occur in,schools,
604,meningococcal outbreak,can occur in,colleges,
605,meningococcal outbreak,can occur in,prisons,
606,meningococcal outbreak,can occur in,other populations,
607,meningococcal disease cases,very few (2 or 3 out of 100) occur as part of,meningococcal outbreak,
608,meningococcal disease symptoms,may include sudden onset of,high fever,
609,meningococcal disease symptoms,may include sudden onset of,headache,
610,meningococcal disease symptoms,may include sudden onset of,stiff neck,
611,meningococcal disease symptoms,can start similar to,influenza symptoms,
612,meningococcal disease,will often cause,nausea,
613,meningococcal disease,will often cause,vomiting,
614,meningococcal disease,will often cause,increased sensitivity to light,
615,meningococcal disease,will often cause,rash,
616,meningococcal disease,will often cause,confusion,
617,MMR vaccine-autism link,no evidence even in,children at higher risk for autism,
618,MMR vaccine-autism link,even in children at higher risk for autism,no evidence,
619,autism spectrum disorder,study after study found no link with,MMR vaccine,
620,autism spectrum disorder,study after study found no link with,vaccine,any vaccine
621,parents,many for young children,refuse vaccinations,
622,parents,many for young children,delay vaccinations,
623,parents,refuse based on,misplaced fear of ASD,
624,parents,delay based on,misplaced fear of ASD,
625,misplaced fear of ASD,can be traced back to,Wakefield study,
626,Wakefield study,is,debunked study,
627,vaccine refusal,can have major negative impact on,public health,
628,vaccine delay,can have major negative impact on,public health,
629,decline in vaccination rates,have also seen,resurgence of measles,
630,decline in vaccination rates,have also seen,resurgence in potentially fatal childhood infectious diseases,
631,measles,is,potentially fatal childhood infectious disease,
632,parents of child with ASD,among most likely for,vaccine avoidance,
633,researchers,once again found no,MMR vaccine-ASD link,
634,MMR vaccine-ASD link,not among,children at higher risk for autism,
635,children at higher risk for autism,have,sibling with ASD,
636,ASD rate,higher among,children at higher risk for autism,
637,ASD risk,did not increase with receipt of,MMR vaccine,for children at higher risk of ASD
638,children at higher risk for autism,actually less likely to receive,autism diagnosis,if received vaccination
639,California,had distressing,resurgence of measles,
640,parents,critical they protect their children against,measles,
641,parents,critical they protect their children against,infectious disease,
642,measles,protect against by staying current with,vaccinations,
643,infectious diseases,protect against by staying current with,vaccinations,
644,not vaccinating children,has,serious consequences,
645,United States,688 people in 27 states in 2014 contracted,measles,
646,measles,can lead to,ear infections,
647,measles,can lead to,pneumonia,
648,measles,can lead to,seizures,
649,measles,can lead to,brain damage,
650,measles,can lead to,death,
651,parental responsibility,to,children,
652,parental responsibility,to,community,
653,population immunity,high level required to,prevent outbreaks,
654,population immunity,high level important for,children with cancer,
655,population immunity,high level important for,children with immunosuppressive diseases,
656,children with cancer,cannot receive,vaccinations,
657,children with immunosuppressive diseases,cannot receive,vaccinations,
658,children with cancer,depend on,herd immunity,
659,children with immunosuppressive diseases,depend on,herd immunity,
660,herd immunity,provides protection against,potentially fatal infection,
661,ASD,remains,challenge,
662,ASD,remains challenge for,scientists,
663,ASD,remains challenge for,families,
664,NIH and partners,large effort to understand,genetic risk factors for ASD,
665,NIH and partners,large effort to understand,environmental risk factors for ASD,
666,NIH and partners,large effort to develop more effective,pharmacological interventions,for children with ASD
667,NIH and partners,large effort to develop more effective,behavioral interventions,for children with ASD
668,scientists,crack a 50-year old,mystery,about the measles vaccine
669,measles vaccine,was 50-year old,mystery,
670,children,United States started vaccinating in 1960s for,measles,
671,children,stopped getting,measles,as expected after measles vaccine
672,childhood deaths,plummeted for,infectious diseases,after measles vaccine
673,diarrhea deaths,cut in half after,measles vaccine,
674,pneumonia deaths,cut in half after,measles vaccine,
675,scientists,saw same phenomenon of,measles vaccine,in England and in parts of Europe
676,measles vaccine,phenomenon today is seen in,developing countries,scientists see
677,Michael Mina,is postdoc in biology at,Princeton University,
678,Michael Mina,is,medical student,at Emory University
679,reduction in mortality,up to 80% in,developing countries,says Michael Mina
680,reduction in mortality,occurred after the introduction of,measles vaccine,
681,infectious diseases,are very high in,developing countries,
682,mortality rate decrease,following introduction of measles vaccine is,mystery,
683,children,who get measles vaccine are more likely to get,better health care,
684,children,are more likely to get better health care who receive,measles vaccine,
685,better health care,includes more,antibiotics,
686,better health care,includes other,vaccines,
687,United States,has seen since 1960s,health care improvement,
688,Mina team,used,epidemiological data,"from United States, Denmarck, Wales, and Englad dating back to 1940s"
689,Mina team,used,computer models,
690,measles cases,number predicted two to three years later,number of deaths from other infections,
691,measles virus,predisposes to other infectious diseases for up to a few years,children,says Michael Mina
692,measles,is known to suppress,immune system,for a few weeks after infection
693,measles,erases,immune protection,to other diseases
694,previous monkey studies show,measles erases,immune protection,says Michael Mina
695,immune system,after measles seems to have,immune amnesia,
696,immune system,has to start over after infection with,measles,
697,immune system,after measles infection has to rebuild its immune protection against,prior diseases,
698,immune system,after measles infection has to rebuild its,immune protection,against prior diseases
699,immune amnesia,is still just a,hypothesis,says William Moss
700,immune amnesia,needs more,testing,says William Moss
701,William Moss,is,epidemiologist,
702,William Moss,has studied for more than a decade,measles vaccine,
703,William Moss,is at,Johns Hopkins University,
704,Mina study,provides compelling evidence says,William Moss,provides compelling evidence1
705,Mina study,provides compelling,evidence,says William Moss
706,evidence,in Mina study is that measles affects,immune system,for two to three years
707,measles,affects,immune system,for two to three years
708,reduction in child mortality,overall is much greater than previously believed following,measles vaccine,says William Moss
709,Mina study,should give more motivation to vaccinate kids to,parents,says William Moss
710,William Moss,was not involved in,Mina study,says William Moss
711,Mina study,will provide additional evidence of,public health benefits,says William Moss
712,measles vaccine,has,public health benefits,says William Moss
713,United States,is continuing to see,measles outbreak,says William Moss
714,public health benefits,is,important message,
715,measles,"if world can eliminate, it will help protect",kids,from other infections
716,reduction in child mortality,following introduction of measles vaccine is,mystery,why do children stop dying at such high rates from all these different infections following introduction of the measles vaccine
717,vaccine exemption,types include,medical exemption,
718,vaccine exemption,types include,religious exemption,
719,vaccine exemption,types include,philosophical,
720,vaccine exemption,types include,personal belief,
721,medical exemption,includes,allergies,to vaccine components
722,medical exemption,includes,immune system disorder,
723,religious exemption,includes,tenets of organized religion,that prohibits vaccinating members
724,tenets of organized religion,for religious exemption includes,prohibits vaccinating members,
725,vaccines,are required in the U.S. to attend,school,
726,children,many attend school without being fully,vaccinated,
727,parents,can always choose to not send children to,school,
728,outbreaks,many in,religious communities,
729,religious communities,have had many recent outbreaks of ,vaccine-preventable diseases,
730,popular religious groups,because of many VPD outbreaks make you think are against,vaccines,
731,measles,320 cases linked to,Netherlands Reformed Congregation,
732,measles,16 people in Texas linked to,Eagle Mountain International Church,
733,Eagle Mountain International Church,described as ,anti-vaccine,
734,Eagle Mountain International Church,described as ,vaccine refusing,
735,measles,58 cases in,Orthodox Jewish communities,"in Borough Park, Williamsburg Brooklyn"
736,measles,21 people linked to,Prabhupada Village,"Hare Krishna Community, North Carolina"
737,measles encephalitis,2499 cases,Dutch Bible belt,
738,religions,none seem to prohibit members,vaccinated,
739,religious groups,are often claiming,personal-belief exemptions,
740,religious groups,are not claiming,religious exemptions,
741,religions with absolute objection,believe in,faith healing,
742,religions with absolute objection,include,Church of the First Born,
743,religions with absolute objection,include,End Time Ministries,
744,religions with absolute objection,include,Faith Assembly,
745,religions with absolute objection,include,Faith Tabernacle,
746,religions with absolute objection,include,First Century Gospel Church,
747,Church of the First Born,believe in,faith healing,over medical care
748,End Time Ministries,believe in,faith healing,over medical care
749,Faith Assembly,believe in,faith healing,over medical care
750,Faith Tabernacle,believe in,faith healing,over medical care
751,First Century Gospel Church,believe in,faith healing,over medical care
752,Christian Scientists,believe,healing through prayer,"The First Church of Christ, Scientist"
753,Christian Scientists,believe,vaccines are not necessary,
754,religions,that are opposed to vaccination help explain,outbreaks,opposed does not mean absolute objection
755,opposed,does not mean,absolute objection,to getting vaccinated
756,absolute objection,does not mean,opposed,to getting vaccinated
757,religious groups,opposed to getting vaccinated include some,Amish,
758,religious groups,opposed to getting vaccinated include some,Dutch reformed churches,
759,religious groups,opposed to getting vaccinated include some,Muslim fundamentalists,
760,Amish,are,opposed,to getting vaccinated
761,Dutch reformed churches,are,opposed,to getting vaccinated
762,Muslim fundamentalists,are,opposed,to getting vaccinated
763,vaccination rates,have been on the rise for some,religious communities,
764,vaccination rates,have been on the rise for subset,Dutch reformed churches,
765,Dutch reformed churches,subset describe vaccines as,gift from God,
766,anti-vaccine views,for many religious groups are not always about,religion,
767,polio vaccine,has much,opposition,"in Afghanistan, Nigeria, Pakistan"
768,polio vaccine opposition,much in,Afghanistan,
769,polio vaccine opposition,much in,Nigeria,
770,polio vaccine opposition,much in,Pakistan,
771,polio vaccine opposition,has had much to do with,social issues,"in Afghanistan, Nigeria, Pakistan"
772,polio vaccine opposition,has had much to do with,political issues,"in Afghanistan, Nigeria, Pakistan"
773,polio vaccine opposition,had nothing to do with,theological issues,"in Afghanistan, Nigeria, Pakistan"
774,Muslim fundamentalists,have,polio vaccine opposition,
775,polio vaccine opposition,comes from,conspiracy,
776,conspiracy,that polio vaccine is to,sterilize Muslims,
777,polio vaccine opposition,because of conspiracy belief to,sterilize Muslims,by Muslim fundamentalists
778,Muslim fundamentalists,belief that polio vaccination is,conspiracy,to sterilize Muslims
779,polio vaccination effort,some Muslim fundamentalists believe is,sterilization attempt,"in Afghanistan, Nigeria, Pakistan"
780,religious groups,avoid vaccines because of,vaccine safety fears,
781,religious groups,avoid vaccines not because of,religious doctrine,
782,orthodox Hasidic Jews,were at the center,measles outbreak,in New York
783,orthodox Hasidic Jews,most other are,fully vaccinated,in New York
784,orthodox Hasidic Jews,some have participated in trials for,hepatitis A vaccine,
785,orthodox Hasidic Jews,some have participated in trials for,mumps vaccine,
786,religious exemption,become more of a,personal-belief exemption,
787,unvaccinated,people become clustered,church,
788,unvaccinated clusters,fuel,large outbreaks,of vaccine-preventable diseases
789,unvaccinated clusters,fuel large outbreaks of,vaccine-preventable diseases,
790,church mission work,overseas where vaccine-preventable diseases are very common is an,issue,
791,religious groups,have no,formal advice,from the church
792,religious groups,have no formal advice from the church regarding,vaccination,
793,religious groups,have clear positions that support,vaccination,
794,religious groups,in support of vaccination include,Catholics,
795,religious groups,in support of vaccination include,Jehovah's Witnesses,
796,religious groups,in support of vaccination include,Jews,
797,religious groups,in support of vaccination include,Muslims,
798,Catholics,support,vaccination,
799,Jehovah's Witnesses,support,vaccination,
800,Jews,support,vaccination,
801,Muslims,support,vaccination,
802,Catholic Church,is clearly,pro-vaccine,
803,Catholic parents,some question,hepatitis A vaccine,
804,Catholic parents,some question,rubella vaccine,
805,Catholic parents,some question,varicella vaccine,
806,hepatitis A vaccine,are,cultured cells,
807,rubella vaccine,are,cultured cells,
808,varicella vaccine,are,cultured cells,
809,hepatitis A vaccine,are cultured cells originally derived from,aborted fetuses,
810,rubella vaccine,are cultured cells originally derived from,aborted fetuses,
811,varicella vaccine,are cultured cells originally derived from,aborted fetuses,
812,vaccines,are lawful to use if no safe effective,alternative to vaccines,says the Church
813,health of children,if danger exists then it is lawful to use,vaccines,says the Church
814,population health,if danger exists then it is lawful to use,vaccines,says the Church
815,The Church,says it is lawful to use,vaccines,
816,Jehovah's Witnesses,had past opposition to,vaccines,
817,vaccination,does not appear to be in violation for,Jehovah's witnesses,
818,Jews,are encouraged to use,vaccines,
819,Jews,confusion since vaccines contain components,pig,
820,Jews,confusion since vaccines contain components,gelatin,
821,vaccines,contain,gelatin,
822,vaccines,contain components of,pig,
823,Muslim leaders,say immunization is consistent with,Islamic principles,
824,immunization,is consistent with,Islamic principles,say Muslim leaders
825,few religions,oppose,vaccines,
826,most religions,actively encourage members to get,vaccinated,
827,home-schooled children,do not have same,vaccine requirements,
828,measles,158 cases from members of an,anti-vaccine eugenics community,"in Quebec, Canada"
829,measles,outbreak started from trip to,Disneyland,"in Quebec, Canada"
830,anti-vaccine eugenics community,started measles outbreak from trip to,Disneyland,"in Quebec, Canada"
831,measles,320 measles cases linked to,Netherlands Reformed Congregation,"British Columbia, Canada"
832,Mississippi,does not have,religious exemptions,
833,West Virginia,does not have,religious exemptions,
834,anti-vaccine views,are not always about religion within,religious groups,
835,Dutch Reformed Churches,have had risiting rates of,vaccinations,
836,rubella,387 rubella cases in an,unvaccinated religious community,in Netherlands
837,Amish,reported multiple cases of,polio,
838,Hib disease,has occurred in,Minnesota,
839,Hib disease,has occurred in,Pennsylvania,
840,vaccine-preventable diseases,are common in,overseas countries,
841,unvaccinated workers,may contract VPDs and spread to,church congregation,
842,Hinduism,is not opposed to,vaccines,
843,Nepal,has high,vaccination rates,
844,India,has high,vaccination rates,
845,people,have long been trying to get,vaccine exemptions,
846,philosophical exemption,also called,personal belief exemption,
847,unvaccinated worker,can spread measles and pertussis after returning from,oversease,
848,vaccine refusal,attributed to,personal religious beliefs,among subgroup of church members
849,vaccine refusal,attributed to personal religious beliefs among,subgroup of church members,
850,vaccines,assume against,Jewish dietary laws,
851,vaccines,judged based on concepts of,medical law,contained in halachic codes
852,Hinduism,none of four major branches opposed to,vaccines,
853,vaccine-preventable diseases,large outbreaks are occurring among,religious groups,
854,religious groups,most actively encourage to get vaccinated,members,
855,vaccination,prevents harm from,vaccine-preventable diseases,
856,vaccine rates,are not just problems of,states,
857,vaccine rates,are issues of,community,
858,low immunization cluster,is real,threat,experts say
859,measles outbreak,sickened 147 people in six,states,
860,public health officials,still worry about,measles,
861,measles,could stage permanent,measles comeback,
862,measles comeback,could occur because of declining,vaccination rates,
863,measles cases,one sick visitor started,Disneyland measles outbreak,
864,Disneyland outbreak,became multi-state,measles outbreak,
865,state immunization rates,vary but remain generally,high,
866,herd immunity,between 83% and 94% vaccinated for,measles,
867,community members,between 83% and 94% must be,vaccinated,
868,community members,estimates between 83% and 94% must be vaccinated to achieve against measles,herd immunity,World Health Organization
869,states,all have,immunization rates,for MMR vaccine
870,states,all have immunization rates for,MMR vaccine,
871,MMR vaccine,should protect,young children,
872,state vaccination rates,has,variation,
873,state vaccination rates,variation is driven by variation in,government policy,
874,states,require children to receive,MMR vaccine,
875,Mississippi,has limited,medical exemption,for MMR vaccine
876,Mississippi,limits vaccine exemptions for,MMR vaccine,
877,West Virginia,has limited,medical exemption,for MMR vaccine
878,West Virginia,limits vaccine exemptions for,MMR vaccine,
879,states,most allow,religious exemptions,
880,states,most allow,personal exemptions,
881,state-level,only tell part of the story,immunization rates,
882,state-level immunization rates,only tell,part of the story,
883,community-level,variation is putting kids in danger,immunization rates,
884,community-level immunization rates,variation is putting kids in,danger,
885,variation,community level immunization rate putting kids in,danger,
886,schools,with low rates of vaccination tend to,cluster,
887,cluster,is,social-network phenomenon,
888,vaccination,is a,social-network phenomenon,
889,ideas,spread like,virus,
890,doctors,must inoculate people against,idea,
891,people,must be inoculated against,idea,
892,vaccine,is worse than ,disease,
893,idea,that,vaccine is worse than disease,
894,low rates of vaccination,more in,private schools,than public schools in NJ
895,private schools,in New Jersey have lower rates of vaccination than,public schools,in New Jersey
896,Waldorf School of Princeton,in New Jersey has lowest,vaccination rate,59% students vaccinated
897,Waldorf School of Princeton,"over $19,000",annual tuition,
898,schools,"615 of 5,775 had fewer than 94%",vaccinated students,
899,schools,111 of 615 had fewer than 83%,vaccinated students,below the WHO standard for herd immunity against measles
900,schools,are below the WHO standard for,herd immunity,against measles
901,low vaccination rates,in schools,cluster,
902,schools,with low vaccination rates,cluster,California
903,vaccination exemptions,rates increased in,California,
904,vaccination exemptions,rates increased by 26% from 2011-2012 to 2013-2014,preschoolers,reaching 9.1%
905,Los Angeles,has increased rates of,vaccine exemption,in wealthier regions
906,vaccine exemption,increased rates in,wealthier regions,of Los Angeles
907,Los Angeles,has increased rates of vaccine exemption in,wealthier regions,for preschoolers
908,Los Angeles County,had 2.2%,exemption rate,in 2013-2014
909,low vaccination rates,at community level are putting children,at risk,
910,immunization,best ways parents can protect children from,serious childhood diseases,
911,immunization,great strides in drastically reducing,infant death,"says Donna Leusner, spokesperson for NJ Department of Public Health"
912,immunization,great strides in drastically reducing,infant disability,"says Donna Leusner, spokesperson for NJ Department of Public Health"
913,vaccination,calls may have paid off after multi-state,measles outbreak,
914,measles vaccine,24% higher,sales,says Merck
915,Merck,had 24% higher sales in 2015 than in 2014 for,measles vaccine,
916,state-level policies,could address issues driving,low vaccination rates,for measles and other communicable diseases
917,state-level policies,could address issues driving low vaccination rates for,measles,
918,state-level policies,could address issues driving low vaccination rates for other,communicable diseases,
919,parents,opt out of,recommended vaccine schedule,
920,driving factors,vary significantly for,parents,to opt out of recommended vaccine schedule
921,parents,driving factors to opt out of recommended vaccine schedule vary significantly at,community-level,
922,driving factors,vary significantly of parents to opt out of,recommended vaccine schedule,at community-level
923,driving factors,vary significantly at,community-level,of parents to opt out of recommended vaccine schedule
924,MMR vaccine-autism link,does not,exist,
925,MMR vaccine,link does not exist to,autism,
926,MMR vaccine-autism link,does not exist even for,high-risk children,
927,scientists,you may have thought were done studying,MMR vaccine-autism link,
928,studies,numerous show no,MMR vaccine-autism link,
929,anti-vaccine advocates,frequently move goal posts with their,arguments,
930,MMR vaccine,might trigger,developmental disability,
931,anti-vaccine argument,is that MMR vaccine might trigger,developmental disability,
932,developmental disability,might be triggered only in certain,susceptible children,
933,high-risk children,were not more likely to develop,autism,if they had received the MMR vaccine
934,Dr. Paul Offit,is director of,Vaccine Education Center,
935,Dr. Paul Offit,is pediatrician at,The Children's Hospital of Philadelphia,
936,Dr. Paul Offit,is,pediatrician,at The Children's Hospital of Philadelphia
937,likelihood of developing autism,actually lower for,at-risk children,if they had received the MMR vaccine
938,vaccination,no one would suggest reduces,autism risk,
939,vaccination,reduces,disease,
940,disease,can disable,children,
941,disease,can kill,children,
942,disease,even more likely to cause serious,complications,in children with neurological conditions
943,evidence,study provides further for,vaccine safety,
944,study,provides further evidence of,MMR vaccine safety,
945,genetically-predisposed children,to adverse MMR reaction is a ,myth,says Dr. Mark Schleiss
946,study,dispels,myth,
947,biologically-predisposed children,to adverse MMR reaction is a ,myth,says Dr. Mark Schleiss
948,Dr. Mark Schleiss,is pediatric infectious disease physician at,University of Minnesota,
949,Dr. Mark Schleiss,is pediatric infectious disease,physician,
950,study,is very useful because it provides to parents,reassurance,to parents
951,reassurance,is about vaccinating ,children with neurodevelopmental issues,
952,reassurance,is about vaccinating ,siblings,of children with neurodevelopmental issues
953,children with neurodevelopmental issues,are particulary vulnerable to many,vaccine-preventable diseases,
954,vaccinated children,had no increased,risk of ASD,
955,unvaccinated children,had no increased,risk of ASD,
956,at-risk vaccinated children,had no increased,risk of ASD,
957,at-risk unvaccinated children,had no increased,risk of ASD,
958,study,had expected,findings,said Dr. Paul Offit
959,choice to not vaccinate younger child,did not decrease,risk of ASD,said Dr. Paul Offit
960,choice to not vaccinate younger child,only increased,measles risk,said Dr. Paul Offit
961,choice to not vaccinate younger child,only increased,risk of mumps,said Dr. Paul Offit
962,choice to not vaccinate younger child,only increased,risk of rubella,said Dr. Paul Offit
963,findings,might have been expected by those in the,field,
964,findings,might have been expected by anyone following,research,
965,study,still cost,money,
966,money,for study came from,National Institutes of Health,
967,money,came from handful of major,universities,
968,money,could have gone to any number of,other projects,
969,resources,were invested in proving,what we already knew,precious resources
970,what we already knew,was that,MMR vaccine is safe,
971,what we already knew,was that,MMR vaccine doesn't trigger autism,
972,Andrew Wakefield,is,former gastroenterologist,
973,Andrew Wakefield,promulgated,shame,
974,Andrew Wakefield,promulgated,fraud,
975,resources,must now be focused on legitimate scientific,hypotheses about autism,says Dr. Mark Schleiss
976,researchers,need to keep studying,measles,says Dr. Mark Schleiss
977,researchers,need to keep studying,measles vaccine,says Dr. Mark Schleiss
978,MMR vaccine,unequivocally proven not associated with,ASD,says Dr. Mark Schleiss
979,measles,is still a,threat,across the world
980,measles,kills hundreds of thousands of,children,
981,Disneyland oubreak,showed once again that,measles,is highly contagious disease
982,research,needs to focus on making easier,vaccine delivery,
983,vaccine delivery,research needs to focus on making easier especially in,developing world,says Dr. Mark Schleiss
984,researchers,can always work to make better,measles vaccine,
985,better aerosol vaccine,developing might be effective use of,funds,
986,Dr. Bryan King,is psychiatrist and autism specialist at,Seattle Children's Hospital,
987,Dr. Bryan King,is,psychiatrist,
988,Dr. Bryan King,is,autism specialist,
989,age of onset of ASD,does not differ between,vaccinated children and unvaccinated children,says Dr. Bryan King
990,severity of ASD,does not differ between,vaccinated children and unvaccinated children,says Dr. Bryan King
991,course of ASD,does not differ between,vaccinated children and unvaccinated children,says Dr. Bryan King
992,risk of ASD recurrence,does not differ between,vaccinated children and unvaccinated children,says Dr. Bryan King
993,MMR vaccine,has nothing to do with,autism,any child at any time at any place in the universe
994,science,is settled on,MMR vaccine-autism link,
995,parents,will still fear,MMR vaccine-autism link,
996,parents,unfortunately there still will be with reservations about,vaccines,says Dr. Mark Schleiss
997,parents,are trying to do best for their,children,says Dr. Mark Schleiss
998,financial forces,are driving the,anti-vaccine agenda,says Dr. Mark Schleiss
999,Dr. Mark Schleiss,is concerned about,financial forces,driving the anti-vaccine agenda
1000,anti-vaccine website,behind every website there's,someone looking to make a buck,says Dr. Mark Schleiss
1001,anti-vaccine website,has someone looking to make a buck selling,chelators,says Dr. Mark Schleiss
1002,anti-vaccine website,has someone looking to make a buck selling,vitamins,says Dr. Mark Schleiss
1003,anti-vaccine website,has someone looking to make a buck selling,creams,says Dr. Mark Schleiss
1004,anti-vaccine website,has someone looking to make a buck selling,salves,says Dr. Mark Schleiss
1005,anti-vaccine website,has someone looking to make a buck selling,natural foods,says Dr. Mark Schleiss
1006,anti-vaccine website,has someone looking to make a buck selling,raw milk,says Dr. Mark Schleiss
1007,anti-vaccine website,has someone looking to make a buck selling,nutritional supplements,says Dr. Mark Schleiss
1008,anti-vaccine website,has someone looking to make a buck selling,secretin,says Dr. Mark Schleiss
1009,anti-vaccine website,has someone looking to make a buck selling,electrostimulation,says Dr. Mark Schleiss
1010,anti-vaccine website,has someone looking to make a buck selling,spinal adjustment,says Dr. Mark Schleiss
1011,anti-vaccine website,has someone looking to make a buck selling,books,says Dr. Mark Schleiss
1012,anti-vaccine website,has someone looking to make a buck selling,tapes,says Dr. Mark Schleiss
1013,anti-vaccine website,has someone looking to make a buck selling,video,says Dr. Mark Schleiss
