,u,v,adamic_adar
9994,for-profit,immune disorders,0.345976256261
10029,for-profit,effective,0.345976256261
10037,fair balance,low-income family,0.314657980444
10043,fair balance,infectious disease,0.314657980444
10050,fair balance,changes,0.314657980444
10053,fair balance,committee hearing room,0.314657980444
10064,fair balance,California,0.314657980444
10065,fair balance,Connie Leyva,0.314657980444
10067,fair balance,Chairwoman Carol Liu,0.314657980444
10068,fair balance,Senate committee,0.314657980444
10074,fair balance,Saron Runner,0.314657980444
10077,fair balance,Tina Kimmel,0.314657980444
10081,fair balance,Senate Education Committee,0.314657980444
10084,fair balance,vaccination exemption,0.314657980444
10090,fair balance,education,0.314657980444
10093,fair balance,public education,0.314657980444
10107,fair balance,home-school,0.314657980444
10122,fair balance,personal belief exemption,0.314657980444
10136,anti-vaccination,vaccine debate,1.44269504089
10147,anti-vaccination,polarized area,0.910239226627
10157,anti-vaccination,discredited,0.62133493456
10159,anti-vaccination,crazy people,0.910239226627
10170,anti-vaccination,medical license,0.62133493456
10198,anti-vaccination,vaccine-preventable diseases,0.910239226627
10223,cognitive disorders,miracles,0.345976256261
10234,cognitive disorders,Alfred and Lisa Claire Dwoskin,0.480898346963
10235,cognitive disorders,pharmaceuticals,0.345976256261
10242,cognitive disorders,imperfect,0.345976256261
10250,cognitive disorders,infants,0.345976256261
10258,cognitive disorders,immune disorders,0.826874603224
10287,cognitive disorders,National Vaccine Information Center,0.480898346963
10293,cognitive disorders,effective,0.345976256261
10333,measles vaccine is safe,rubella vaccination is safe,0.910239226627
10367,measles vaccine is safe,pertussis vaccine,0.910239226627
10395,pertussis increase,adolescents,0.389871245251
10399,pertussis increase,changes,0.389871245251
10423,pertussis increase,cases,0.389871245251
10425,pertussis increase,CDC,0.389871245251
10430,pertussis increase,medical science,0.389871245251
10442,pertussis increase,pregnant women,0.389871245251
10453,pertussis increase,effectiveness,0.389871245251
10484,adolescents,pertussis,1.44269504089
10486,adolescents,changes,0.389871245251
10510,adolescents,cases,0.389871245251
10512,adolescents,CDC,0.389871245251
10517,adolescents,medical science,0.389871245251
10529,adolescents,pregnant women,0.389871245251
10540,adolescents,effectiveness,0.389871245251
10620,options,SB 277,1.44269504089
10672,miracles,pharmaceuticals,0.345976256261
10679,miracles,imperfect,0.345976256261
10687,miracles,infants,0.345976256261
10695,miracles,immune disorders,0.345976256261
10729,miracles,effective,0.345976256261
10758,Barry Segal,autism,0.721347520444
10823,committee hearing room,Senate Education Committee,0.314657980444
10827,committee hearing room,vaccination exemption,0.314657980444
10834,committee hearing room,low-income family,0.314657980444
10840,committee hearing room,education,0.314657980444
10844,committee hearing room,public education,0.314657980444
10857,committee hearing room,Connie Leyva,0.314657980444
10858,committee hearing room,changes,0.314657980444
10859,committee hearing room,personal belief exemption,0.314657980444
10860,committee hearing room,California,0.314657980444
10861,committee hearing room,Chairwoman Carol Liu,0.314657980444
10862,committee hearing room,infectious disease,0.314657980444
10863,committee hearing room,Senate committee,0.314657980444
10868,committee hearing room,home-school,0.314657980444
10888,committee hearing room,Saron Runner,0.314657980444
10898,committee hearing room,Tina Kimmel,0.314657980444
10920,age 65 and older,standard vaccine,0.480898346963
10969,age 65 and older,age 85 and older,0.480898346963
10974,age 65 and older,mixed findings,0.480898346963
11050,standard vaccine,age 85 and older,0.480898346963
11055,standard vaccine,mixed findings,0.480898346963
11076,artificial vaccine,vaccine refusal,0.910239226627
11116,artificial vaccine,Tdap vaccine,0.51389834237
11118,artificial vaccine,PLOS Computational Biology,0.51389834237
11128,artificial vaccine,whole-cell vaccine,0.51389834237
11129,artificial vaccine,high-dose flu vaccine,1.44269504089
11163,wealthy family foundations,polarized area,0.721347520444
11229,Andrew Wakefield,measles outbreak,0.352956123865
11238,Andrew Wakefield,Wakefield study,0.352956123865
11253,Andrew Wakefield,medical belief,0.352956123865
11257,Andrew Wakefield,politicians,0.352956123865
11275,Andrew Wakefield,vaccine-injured children,0.352956123865
11283,Andrew Wakefield,misrepresentation,0.352956123865
11291,Andrew Wakefield,Jenny McCarthy,1.07430364431
11294,Andrew Wakefield,anti-vaxxers,0.352956123865
11303,Andrew Wakefield,open conversations,0.352956123865
11307,Australia,adults,0.389871245251
11326,Australia,vaccination,0.389871245251
11348,Australia,whooping cough,0.389871245251
11357,Australia,severe coughing,0.389871245251
11377,Australia,infants,0.389871245251
11458,infectious disease,Senate Education Committee,0.314657980444
11461,infectious disease,vaccination exemption,0.314657980444
11466,infectious disease,low-income family,0.314657980444
11471,infectious disease,education,0.314657980444
11475,infectious disease,public education,0.314657980444
11487,infectious disease,Connie Leyva,0.314657980444
11488,infectious disease,personal belief exemption,0.314657980444
11489,infectious disease,California,0.314657980444
11490,infectious disease,Chairwoman Carol Liu,0.314657980444
11497,infectious disease,home-school,0.314657980444
11514,infectious disease,changes,0.314657980444
11516,infectious disease,Saron Runner,0.314657980444
11523,infectious disease,Senate committee,0.314657980444
11525,infectious disease,Tina Kimmel,0.314657980444
11535,vaccination,adults,0.389871245251
11570,vaccination,pertussis vaccine,0.721347520444
11583,vaccination,severe coughing,0.389871245251
11596,vaccination,whooping cough,0.389871245251
11599,vaccination,Dr. Anna Acosta,0.721347520444
11600,vaccination,infants,0.389871245251
11612,Alfred and Lisa Claire Dwoskin,immune disorders,0.480898346963
11653,Alfred and Lisa Claire Dwoskin,National Vaccine Information Center,0.480898346963
11686,pharmaceuticals,immune disorders,0.345976256261
11716,pharmaceuticals,imperfect,0.345976256261
11736,pharmaceuticals,effective,0.345976256261
11747,pharmaceuticals,infants,0.345976256261
11817,pertussis booster shot,Dr. Anna Acosta,1.44269504089
11823,Connie Leyva,Senate Education Committee,0.314657980444
11826,Connie Leyva,vaccination exemption,0.314657980444
11835,Connie Leyva,education,0.872768606995
11838,Connie Leyva,public education,0.314657980444
11848,Connie Leyva,California,0.314657980444
11849,Connie Leyva,personal belief exemption,0.314657980444
11851,Connie Leyva,Chairwoman Carol Liu,0.314657980444
11858,Connie Leyva,home-school,0.872768606995
11873,Connie Leyva,changes,0.314657980444
11875,Connie Leyva,Saron Runner,0.314657980444
11882,Connie Leyva,Senate committee,0.314657980444
11884,Connie Leyva,Tina Kimmel,0.314657980444
11892,California,Senate Education Committee,0.314657980444
11895,California,vaccination exemption,0.314657980444
11900,California,low-income family,0.314657980444
11905,California,education,0.314657980444
11908,California,public education,0.314657980444
11918,California,personal belief exemption,0.314657980444
11920,California,Chairwoman Carol Liu,0.314657980444
11927,California,home-school,0.314657980444
11942,California,changes,0.314657980444
11944,California,Saron Runner,0.314657980444
11951,California,Senate committee,0.314657980444
11953,California,Tina Kimmel,0.314657980444
11961,Chairwoman Carol Liu,Senate Education Committee,0.314657980444
11964,Chairwoman Carol Liu,vaccination exemption,0.314657980444
11969,Chairwoman Carol Liu,low-income family,0.314657980444
11974,Chairwoman Carol Liu,education,0.314657980444
11977,Chairwoman Carol Liu,public education,0.314657980444
11987,Chairwoman Carol Liu,personal belief exemption,0.314657980444
11995,Chairwoman Carol Liu,home-school,0.314657980444
12010,Chairwoman Carol Liu,changes,0.314657980444
12012,Chairwoman Carol Liu,Saron Runner,0.314657980444
12019,Chairwoman Carol Liu,Senate committee,0.314657980444
12020,Chairwoman Carol Liu,Tina Kimmel,0.314657980444
12028,Senate committee,Senate Education Committee,0.314657980444
12031,Senate committee,vaccination exemption,0.314657980444
12036,Senate committee,low-income family,0.314657980444
12041,Senate committee,education,0.314657980444
12044,Senate committee,public education,0.314657980444
12054,Senate committee,personal belief exemption,0.314657980444
12062,Senate committee,home-school,0.314657980444
12077,Senate committee,changes,0.314657980444
12079,Senate committee,Saron Runner,0.314657980444
12087,Senate committee,Tina Kimmel,0.314657980444
12168,imperfect,immune disorders,0.345976256261
12213,imperfect,effective,0.345976256261
12223,imperfect,infants,0.345976256261
12258,rubella vaccination is safe,pertussis vaccine,0.910239226627
12312,pertussis,maternal inoculation,0.910239226627
12322,pertussis,infant mortality,1.44269504089
12334,pertussis,data,0.62133493456
12340,pertussis,CDC,0.62133493456
12416,severe coughing,adults,0.389871245251
12467,severe coughing,whooping cough,0.389871245251
12471,severe coughing,infants,0.389871245251
12475,cases,medical science,0.389871245251
12488,cases,pregnant women,0.389871245251
12502,cases,effectiveness,0.389871245251
12521,cases,CDC,0.389871245251
12532,cases,changes,0.389871245251
12535,Saron Runner,Senate Education Committee,0.314657980444
12538,Saron Runner,vaccination exemption,0.314657980444
12541,Saron Runner,low-income family,0.314657980444
12545,Saron Runner,education,0.314657980444
12548,Saron Runner,public education,0.314657980444
12558,Saron Runner,personal belief exemption,0.314657980444
12565,Saron Runner,home-school,0.314657980444
12586,Saron Runner,Tina Kimmel,0.314657980444
12591,Saron Runner,changes,0.314657980444
12593,CDC,medical science,0.389871245251
12606,CDC,pregnant women,0.389871245251
12620,CDC,effectiveness,0.389871245251
12634,CDC,data,0.62133493456
12648,CDC,changes,0.389871245251
12704,mixed findings,age 85 and older,0.480898346963
12763,vaccine-preventable diseases,open conversations,0.910239226627
12765,Tina Kimmel,Senate Education Committee,0.314657980444
12768,Tina Kimmel,vaccination exemption,0.314657980444
12771,Tina Kimmel,low-income family,0.314657980444
12775,Tina Kimmel,education,0.314657980444
12778,Tina Kimmel,public education,0.314657980444
12787,Tina Kimmel,personal belief exemption,0.314657980444
12792,Tina Kimmel,home-school,0.314657980444
12817,Tina Kimmel,changes,0.314657980444
12821,Jenny McCarthy,measles outbreak,0.352956123865
12824,Jenny McCarthy,vaccine debate,0.910239226627
12827,Jenny McCarthy,Wakefield study,0.352956123865
12838,Jenny McCarthy,medical belief,0.352956123865
12841,Jenny McCarthy,politicians,0.352956123865
12849,Jenny McCarthy,vaccine-injured children,0.352956123865
12852,Jenny McCarthy,side of right and good,0.910239226627
12856,Jenny McCarthy,misrepresentation,0.352956123865
12864,Jenny McCarthy,anti-vaxxers,0.352956123865
12872,Jenny McCarthy,open conversations,0.352956123865
12876,infants,adults,0.389871245251
12879,infants,immune disorders,0.345976256261
12915,infants,effective,0.345976256261
12922,infants,whooping cough,0.389871245251
12990,medical science,pregnant women,0.389871245251
13002,medical science,effectiveness,0.389871245251
13027,medical science,changes,0.389871245251
13031,Senate Education Committee,vaccination exemption,0.314657980444
13034,Senate Education Committee,low-income family,0.314657980444
13038,Senate Education Committee,education,0.314657980444
13041,Senate Education Committee,public education,0.314657980444
13050,Senate Education Committee,personal belief exemption,0.314657980444
13055,Senate Education Committee,home-school,0.314657980444
13077,Senate Education Committee,changes,0.314657980444
13085,measles outbreak,Wakefield study,0.352956123865
13096,measles outbreak,medical belief,0.352956123865
13099,measles outbreak,politicians,0.352956123865
13107,measles outbreak,vaccine-injured children,0.352956123865
13114,measles outbreak,misrepresentation,0.352956123865
13122,measles outbreak,anti-vaxxers,0.352956123865
13128,measles outbreak,open conversations,0.352956123865
13175,adults,whooping cough,0.389871245251
13178,vaccination exemption,personal belief exemption,0.314657980444
13181,vaccination exemption,low-income family,0.314657980444
13185,vaccination exemption,education,0.314657980444
13188,vaccination exemption,public education,0.314657980444
13201,vaccination exemption,home-school,0.314657980444
13222,vaccination exemption,changes,0.314657980444
13251,vaccine debate,side of right and good,0.910239226627
13299,immune disorders,National Vaccine Information Center,0.480898346963
13306,immune disorders,effective,0.345976256261
13328,Wakefield study,medical belief,0.352956123865
13331,Wakefield study,politicians,0.352956123865
13339,Wakefield study,vaccine-injured children,0.352956123865
13346,Wakefield study,misrepresentation,0.352956123865
13354,Wakefield study,anti-vaxxers,0.352956123865
13360,Wakefield study,open conversations,0.352956123865
13367,young people,protested,0.910239226627
13370,young people,SB 277,0.910239226627
13431,vaccine choice,president,0.910239226627
13447,education,personal belief exemption,0.314657980444
13448,education,low-income family,0.314657980444
13451,education,public education,0.314657980444
13462,education,pertussis vaccine,0.558110626551
13464,education,home-school,0.872768606995
13475,education,whole-cell vaccine,0.558110626551
13486,education,changes,0.314657980444
13532,autism,alzheimer's,0.910239226627
13578,pregnant women,effectiveness,0.389871245251
13603,pregnant women,changes,0.389871245251
13605,public education,low-income family,0.314657980444
13617,public education,home-school,0.314657980444
13632,public education,personal belief exemption,0.314657980444
13639,public education,changes,0.314657980444
13644,protested,SB 277,0.910239226627
13682,misrepresentation,medical belief,0.352956123865
13685,misrepresentation,politicians,0.352956123865
13693,misrepresentation,vaccine-injured children,0.352956123865
13707,misrepresentation,anti-vaxxers,0.352956123865
13713,misrepresentation,open conversations,0.352956123865
13754,SB 277,concerns,1.44269504089
13757,SB 277,pertussis vaccine,2.00080566744
13759,SB 277,students,1.44269504089
13768,SB 277,whole-cell vaccine,0.558110626551
13783,medical belief,politicians,0.352956123865
13791,medical belief,vaccine-injured children,0.352956123865
13805,medical belief,anti-vaxxers,0.352956123865
13811,medical belief,open conversations,0.352956123865
13854,crazy people,vaccine-injured children,0.721347520444
13883,politicians,vaccine-injured children,0.352956123865
13897,politicians,anti-vaxxers,0.352956123865
13903,politicians,open conversations,0.352956123865
13938,Americans,pertussis vaccine,0.910239226627
13985,effectiveness,changes,0.389871245251
14003,immunity,high-dose flu vaccine,1.44269504089
14021,pertussis vaccine,upward trend,1.44269504089
14027,pertussis vaccine,whole-cell vaccine,0.558110626551
14034,pertussis vaccine,Tdap vaccine,1.44269504089
14035,pertussis vaccine,Dr. Anna Acosta,0.721347520444
14061,home-school,low-income family,0.314657980444
14077,home-school,personal belief exemption,0.314657980444
14082,home-school,changes,0.314657980444
14113,vaccine-injured children,anti-vaxxers,1.07430364431
14126,vaccine-injured children,open conversations,0.352956123865
14138,PLOS Computational Biology,Tdap vaccine,0.51389834237
14145,PLOS Computational Biology,whole-cell vaccine,0.51389834237
14185,discredited,medical license,0.62133493456
14253,whole-cell vaccine,Tdap vaccine,0.51389834237
14300,changes,low-income family,0.314657980444
14301,changes,personal belief exemption,0.314657980444
14308,personal belief exemption,low-income family,0.314657980444
14325,anti-vaxxers,open conversations,0.352956123865
