,u,v,jaccard
10857,committee hearing room,Connie Leyva,0.333333333333
10858,committee hearing room,changes,0.5
10859,committee hearing room,personal belief exemption,0.5
10860,committee hearing room,California,1.0
10861,committee hearing room,Chairwoman Carol Liu,0.5
10862,committee hearing room,infectious disease,1.0
10863,committee hearing room,Senate committee,1.0
10868,committee hearing room,home-school,0.25
10888,committee hearing room,Saron Runner,1.0
10898,committee hearing room,Tina Kimmel,0.5
10920,age 65 and older,standard vaccine,0.5
10969,age 65 and older,age 85 and older,0.5
10974,age 65 and older,mixed findings,0.5
11050,standard vaccine,age 85 and older,1.0
11055,standard vaccine,mixed findings,1.0
11076,artificial vaccine,vaccine refusal,0.333333333333
11116,artificial vaccine,Tdap vaccine,0.25
11118,artificial vaccine,PLOS Computational Biology,0.333333333333
11128,artificial vaccine,whole-cell vaccine,0.166666666667
11129,artificial vaccine,high-dose flu vaccine,0.1
11163,wealthy family foundations,polarized area,0.333333333333
11229,Andrew Wakefield,measles outbreak,0.2
11238,Andrew Wakefield,Wakefield study,0.2
11253,Andrew Wakefield,medical belief,0.2
11257,Andrew Wakefield,politicians,0.2
11275,Andrew Wakefield,vaccine-injured children,0.166666666667
11283,Andrew Wakefield,misrepresentation,0.2
11291,Andrew Wakefield,Jenny McCarthy,0.333333333333
11294,Andrew Wakefield,anti-vaxxers,0.142857142857
11303,Andrew Wakefield,open conversations,0.142857142857
11307,Australia,adults,1.0
11326,Australia,vaccination,0.2
11348,Australia,whooping cough,1.0
11357,Australia,severe coughing,1.0
11377,Australia,infants,0.333333333333
11458,infectious disease,Senate Education Committee,1.0
11461,infectious disease,vaccination exemption,0.5
11466,infectious disease,low-income family,0.5
11471,infectious disease,education,0.333333333333
11475,infectious disease,public education,0.333333333333
11487,infectious disease,Connie Leyva,0.333333333333
11488,infectious disease,personal belief exemption,0.5
11489,infectious disease,California,1.0
11490,infectious disease,Chairwoman Carol Liu,0.5
11497,infectious disease,home-school,0.25
11514,infectious disease,changes,0.5
11516,infectious disease,Saron Runner,1.0
11523,infectious disease,Senate committee,1.0
11525,infectious disease,Tina Kimmel,0.5
11535,vaccination,adults,0.2
11570,vaccination,pertussis vaccine,0.0588235294118
11583,vaccination,severe coughing,0.2
11596,vaccination,whooping cough,0.2
11599,vaccination,Dr. Anna Acosta,0.166666666667
11600,vaccination,infants,0.142857142857
11612,Alfred and Lisa Claire Dwoskin,immune disorders,0.5
11653,Alfred and Lisa Claire Dwoskin,National Vaccine Information Center,0.5
11686,pharmaceuticals,immune disorders,0.5
11716,pharmaceuticals,imperfect,1.0
11736,pharmaceuticals,effective,0.5
11747,pharmaceuticals,infants,0.333333333333
11817,pertussis booster shot,Dr. Anna Acosta,0.333333333333
11823,Connie Leyva,Senate Education Committee,0.333333333333
11826,Connie Leyva,vaccination exemption,0.25
11835,Connie Leyva,education,0.5
11838,Connie Leyva,public education,0.2
11848,Connie Leyva,California,0.333333333333
11849,Connie Leyva,personal belief exemption,0.25
11851,Connie Leyva,Chairwoman Carol Liu,0.25
11858,Connie Leyva,home-school,0.4
11873,Connie Leyva,changes,0.25
11875,Connie Leyva,Saron Runner,0.333333333333
11882,Connie Leyva,Senate committee,0.333333333333
11884,Connie Leyva,Tina Kimmel,0.25
11892,California,Senate Education Committee,1.0
11895,California,vaccination exemption,0.5
11900,California,low-income family,0.5
11905,California,education,0.333333333333
11908,California,public education,0.333333333333
11918,California,personal belief exemption,0.5
11920,California,Chairwoman Carol Liu,0.5
11927,California,home-school,0.25
11942,California,changes,0.5
11944,California,Saron Runner,1.0
11951,California,Senate committee,1.0
11953,California,Tina Kimmel,0.5
11961,Chairwoman Carol Liu,Senate Education Committee,0.5
11964,Chairwoman Carol Liu,vaccination exemption,0.333333333333
11969,Chairwoman Carol Liu,low-income family,0.333333333333
11974,Chairwoman Carol Liu,education,0.25
11977,Chairwoman Carol Liu,public education,0.25
11987,Chairwoman Carol Liu,personal belief exemption,0.333333333333
11995,Chairwoman Carol Liu,home-school,0.2
12010,Chairwoman Carol Liu,changes,0.333333333333
12012,Chairwoman Carol Liu,Saron Runner,0.5
12019,Chairwoman Carol Liu,Senate committee,0.5
12020,Chairwoman Carol Liu,Tina Kimmel,0.333333333333
12028,Senate committee,Senate Education Committee,1.0
12031,Senate committee,vaccination exemption,0.5
12036,Senate committee,low-income family,0.5
12041,Senate committee,education,0.333333333333
12044,Senate committee,public education,0.333333333333
12054,Senate committee,personal belief exemption,0.5
12062,Senate committee,home-school,0.25
12077,Senate committee,changes,0.5
12079,Senate committee,Saron Runner,1.0
12087,Senate committee,Tina Kimmel,0.5
12168,imperfect,immune disorders,0.5
12213,imperfect,effective,0.5
12223,imperfect,infants,0.333333333333
12258,rubella vaccination is safe,pertussis vaccine,0.0769230769231
12312,pertussis,maternal inoculation,0.0769230769231
12322,pertussis,infant mortality,0.0769230769231
12334,pertussis,data,0.0769230769231
12340,pertussis,CDC,0.0625
12416,severe coughing,adults,1.0
12467,severe coughing,whooping cough,1.0
12471,severe coughing,infants,0.333333333333
12475,cases,medical science,0.25
12488,cases,pregnant women,0.5
12502,cases,effectiveness,0.5
12521,cases,CDC,0.2
12532,cases,changes,0.333333333333
12535,Saron Runner,Senate Education Committee,1.0
12538,Saron Runner,vaccination exemption,0.5
12541,Saron Runner,low-income family,0.5
12545,Saron Runner,education,0.333333333333
12548,Saron Runner,public education,0.333333333333
12558,Saron Runner,personal belief exemption,0.5
12565,Saron Runner,home-school,0.25
12586,Saron Runner,Tina Kimmel,0.5
12591,Saron Runner,changes,0.5
12593,CDC,medical science,0.166666666667
12606,CDC,pregnant women,0.25
12620,CDC,effectiveness,0.25
12634,CDC,data,0.25
12648,CDC,changes,0.2
12704,mixed findings,age 85 and older,1.0
12763,vaccine-preventable diseases,open conversations,0.333333333333
12765,Tina Kimmel,Senate Education Committee,0.5
12768,Tina Kimmel,vaccination exemption,0.333333333333
12771,Tina Kimmel,low-income family,0.333333333333
12775,Tina Kimmel,education,0.25
12778,Tina Kimmel,public education,0.25
12787,Tina Kimmel,personal belief exemption,0.333333333333
12792,Tina Kimmel,home-school,0.2
12817,Tina Kimmel,changes,0.333333333333
12821,Jenny McCarthy,measles outbreak,0.333333333333
12824,Jenny McCarthy,vaccine debate,0.166666666667
12827,Jenny McCarthy,Wakefield study,0.333333333333
12838,Jenny McCarthy,medical belief,0.333333333333
12841,Jenny McCarthy,politicians,0.333333333333
12849,Jenny McCarthy,vaccine-injured children,0.25
12852,Jenny McCarthy,side of right and good,0.333333333333
12856,Jenny McCarthy,misrepresentation,0.333333333333
12864,Jenny McCarthy,anti-vaxxers,0.2
12872,Jenny McCarthy,open conversations,0.2
12876,infants,adults,0.333333333333
12879,infants,immune disorders,0.25
12915,infants,effective,0.25
12922,infants,whooping cough,0.333333333333
12990,medical science,pregnant women,0.333333333333
13002,medical science,effectiveness,0.333333333333
13027,medical science,changes,0.25
13031,Senate Education Committee,vaccination exemption,0.5
13034,Senate Education Committee,low-income family,0.5
13038,Senate Education Committee,education,0.333333333333
13041,Senate Education Committee,public education,0.333333333333
13050,Senate Education Committee,personal belief exemption,0.5
13055,Senate Education Committee,home-school,0.25
13077,Senate Education Committee,changes,0.5
13085,measles outbreak,Wakefield study,1.0
13096,measles outbreak,medical belief,1.0
13099,measles outbreak,politicians,1.0
13107,measles outbreak,vaccine-injured children,0.5
13114,measles outbreak,misrepresentation,1.0
13122,measles outbreak,anti-vaxxers,0.333333333333
13128,measles outbreak,open conversations,0.333333333333
13175,adults,whooping cough,1.0
13178,vaccination exemption,personal belief exemption,0.333333333333
13181,vaccination exemption,low-income family,0.333333333333
13185,vaccination exemption,education,0.25
13188,vaccination exemption,public education,0.25
13201,vaccination exemption,home-school,0.2
13222,vaccination exemption,changes,0.333333333333
13251,vaccine debate,side of right and good,0.25
13299,immune disorders,National Vaccine Information Center,0.333333333333
13306,immune disorders,effective,0.333333333333
13328,Wakefield study,medical belief,1.0
13331,Wakefield study,politicians,1.0
13339,Wakefield study,vaccine-injured children,0.5
13346,Wakefield study,misrepresentation,1.0
13354,Wakefield study,anti-vaxxers,0.333333333333
13360,Wakefield study,open conversations,0.333333333333
13367,young people,protested,1.0
13370,young people,SB 277,0.0416666666667
13431,vaccine choice,president,0.5
13447,education,personal belief exemption,0.25
13448,education,low-income family,0.25
13451,education,public education,0.2
13462,education,pertussis vaccine,0.0666666666667
13464,education,home-school,0.4
13475,education,whole-cell vaccine,0.166666666667
13486,education,changes,0.25
13532,autism,alzheimer's,0.2
13578,pregnant women,effectiveness,1.0
13603,pregnant women,changes,0.5
13605,public education,low-income family,0.25
13617,public education,home-school,0.166666666667
13632,public education,personal belief exemption,0.25
13639,public education,changes,0.25
13644,protested,SB 277,0.0416666666667
13682,misrepresentation,medical belief,1.0
13685,misrepresentation,politicians,1.0
13693,misrepresentation,vaccine-injured children,0.5
13707,misrepresentation,anti-vaxxers,0.333333333333
13713,misrepresentation,open conversations,0.333333333333
13754,SB 277,concerns,0.0416666666667
13757,SB 277,pertussis vaccine,0.0571428571429
13759,SB 277,students,0.0416666666667
13768,SB 277,whole-cell vaccine,0.037037037037
13783,medical belief,politicians,1.0
13791,medical belief,vaccine-injured children,0.5
13805,medical belief,anti-vaxxers,0.333333333333
13811,medical belief,open conversations,0.333333333333
13854,crazy people,vaccine-injured children,0.333333333333
13883,politicians,vaccine-injured children,0.5
13897,politicians,anti-vaxxers,0.333333333333
13903,politicians,open conversations,0.333333333333
13938,Americans,pertussis vaccine,0.0769230769231
13985,effectiveness,changes,0.5
14003,immunity,high-dose flu vaccine,0.125
14021,pertussis vaccine,upward trend,0.0769230769231
14027,pertussis vaccine,whole-cell vaccine,0.0625
14034,pertussis vaccine,Tdap vaccine,0.0714285714286
14035,pertussis vaccine,Dr. Anna Acosta,0.0714285714286
14061,home-school,low-income family,0.2
14077,home-school,personal belief exemption,0.2
14082,home-school,changes,0.2
14113,vaccine-injured children,anti-vaxxers,0.666666666667
14126,vaccine-injured children,open conversations,0.25
14138,PLOS Computational Biology,Tdap vaccine,0.5
14145,PLOS Computational Biology,whole-cell vaccine,0.25
14185,discredited,medical license,1.0
14253,whole-cell vaccine,Tdap vaccine,0.2
14300,changes,low-income family,0.333333333333
14301,changes,personal belief exemption,0.333333333333
14308,personal belief exemption,low-income family,0.333333333333
14325,anti-vaxxers,open conversations,0.2
